Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,25,1,31,1,63,152349,2.9,true
1,3,25,1,41,24,132,229760,145.087,true
2,2,25,1,35,24,79,6722,3.222,true
3,2,25,1,34,24,95,7096,3.584,true
4,2,25,1,37,24,75,6018,2.912,true
5,3,25,1,33,24,50,84767,55.316,true
6,2,25,1,36,24,110,6012,2.841,true
7,2,23,1,22,24,30,4051,1.942,true
8,1,10,0,10,24,1,150,0.047,true
9,3,25,1,29,24,173,354045,241.044,true
10,2,25,1,34,24,103,5533,2.525,true
