Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,3,2,0,31,0.108,1,4,196,197,107,0.109,true
1,1,0,2,0,93,0.087,3,1,30,93,0,0.088,true
2,1,1,4,0,93,0.088,3,1,30,93,0,0.089,true
3,2,7,6,3,93,0.1,3,7,250,753,94,0.109,true
4,1,1,3,0,465,0.103,15,1,30,465,0,0.108,true
5,1,0,2,0,465,0.105,15,1,30,465,0,0.111,true
6,1,1,3,0,465,0.106,15,1,30,465,0,0.112,true
7,1,1,5,3,465,0.105,15,1,30,465,0,0.111,true
8,1,2,2,5,465,0.106,15,1,30,465,0,0.112,true
9,1,1,2,4,465,0.105,15,1,30,465,0,0.11,true
10,1,2,3,5,465,0.106,15,1,30,465,0,0.113,true
11,1,1,2,4,465,0.102,15,1,30,465,0,0.107,true
12,1,1,5,2,465,0.104,15,1,30,465,0,0.11,true
13,1,0,5,0,465,0.105,15,1,30,465,0,0.11,true
14,1,3,7,3,465,0.107,15,1,30,465,0,0.113,true
15,1,0,2,0,465,0.108,15,1,30,465,0,0.115,true
16,1,0,2,0,465,0.106,15,1,30,465,0,0.112,true
17,1,0,2,0,465,0.107,15,1,30,465,0,0.114,true
18,1,0,2,0,465,0.105,15,1,30,465,0,0.112,true
19,1,0,2,0,465,0.106,15,1,30,465,0,0.112,true
20,1,0,2,0,465,0.106,15,1,30,465,0,0.112,true
21,1,0,2,0,465,0.106,15,1,30,465,0,0.112,true
22,1,0,2,0,465,0.105,15,1,30,465,0,0.111,true
23,1,1,2,0,465,0.108,15,1,30,465,0,0.114,true
24,1,0,4,0,465,0.108,15,1,30,465,0,0.114,true
25,1,2,3,4,465,0.106,15,1,30,465,0,0.112,true
26,1,2,5,1,465,0.106,15,1,30,465,0,0.112,true
27,1,2,5,2,465,0.105,15,1,30,465,0,0.11,true
28,1,0,2,0,465,0.104,15,1,30,465,0,0.11,true
29,1,0,2,0,465,0.105,15,1,30,465,0,0.111,true
30,1,0,2,0,465,0.106,15,1,30,465,0,0.112,true
31,1,0,2,0,465,0.106,15,1,30,465,0,0.112,true
32,2,20,4,0,514.5,0.113,15,9,209,3150,179,0.178,true
33,3,7,6,5,188.25,0.102,15,11,410,6165,595,0.302,true
34,1,1,2,1,465,0.139,15,1,30,465,0,0.15,true
35,1,0,1,0,465,0.143,15,1,30,465,0,0.153,true
36,1,0,1,0,465,0.141,15,1,30,465,0,0.151,true
37,1,3,7,3,465,0.14,15,1,30,465,0,0.15,true
38,2,5,6,6,917.1,0.146,15,23,292,4395,237,0.27,true
39,2,3,4,3,748.8,0.142,15,11,224,3375,194,0.238,true
40,2,2,6,2,507.9,0.143,15,9,209,3150,167,0.232,true
41,1,2,6,2,465,0.143,15,1,30,465,0,0.154,true
42,1,2,5,4,465,0.15,15,1,30,465,0,0.161,true
43,1,1,6,1,465,0.151,15,1,30,465,0,0.163,true
44,1,4,8,5,465,0.148,15,1,30,465,0,0.159,true
45,1,3,9,3,465,0.145,15,1,30,465,0,0.156,true
46,1,1,5,1,465,0.145,15,1,30,465,0,0.157,true
47,2,5,9,4,488.1,0.153,15,7,163,2460,133,0.23,true
48,3,4,8,4,999.6,0.157,15,28,2376,35655,4272,1.678,true
49,2,1,6,1,583.8,0.156,15,11,215,3240,173,0.262,true
50,1,6,9,5,465,0.153,15,1,30,465,0,0.165,true
51,2,0,5,0,540.9,0.164,15,8,209,3150,179,0.266,true
52,1,0,2,0,465,0.152,15,1,30,465,0,0.164,true
53,1,2,3,0,465,0.153,15,1,30,465,0,0.166,true
54,1,3,5,2,465,0.154,15,1,30,465,0,0.166,true
55,1,5,7,4,465,0.154,15,1,30,465,0,0.166,true
56,1,5,8,4,465,0.154,15,1,30,465,0,0.166,true
57,1,4,7,4,465,0.15,15,1,30,465,0,0.162,true
58,2,5,8,5,481.5,0.165,15,7,163,2460,133,0.241,true
59,2,4,9,1,1095.3,0.152,15,28,449,6750,419,0.365,true
60,2,5,8,4,748.8,0.153,15,14,323,4860,293,0.312,true
61,2,6,10,5,663,0.154,15,12,289,4350,259,0.299,true
62,1,4,5,3,465,0.155,15,1,30,465,0,0.167,true
63,1,4,6,4,465,0.159,15,1,30,465,0,0.172,true
64,1,5,8,5,465,0.155,15,1,30,465,0,0.167,true
65,1,4,7,4,465,0.154,15,1,30,465,0,0.166,true
66,1,5,7,5,465,0.152,15,1,30,465,0,0.164,true
67,1,4,9,3,465,0.155,15,1,30,465,0,0.168,true
68,2,4,7,4,779.4,0.17,15,20,221,3330,185,0.277,true
69,1,4,7,5,465,0.154,15,1,30,465,0,0.166,true
70,1,4,9,3,465,0.154,15,1,30,465,0,0.166,true
71,2,6,5,3,834.6,0.158,15,19,379,5700,349,0.344,true
72,1,4,7,4,465,0.205,15,1,30,465,0,0.218,true
73,1,4,8,5,465,0.159,15,1,30,465,0,0.172,true
