Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,9,1,11,301,0.003,true
1,1,6,1,10,3,1,30,0,true
2,1,6,1,10,3,1,30,0,true
3,1,6,1,10,3,1,30,0,true
4,2,6,1,11,3,17,160,0.004,true
5,2,6,1,10,3,10,103,0.003,true
6,2,5,1,8,3,14,125,0.003,true
7,2,6,1,12,3,17,183,0.006,true
8,2,6,1,10,3,11,134,0.003,true
9,2,5,1,10,3,11,92,0.003,true
10,2,6,1,9,3,12,105,0.002,true
11,2,6,1,10,3,10,105,0.004,true
12,2,6,1,9,3,9,76,0.002,true
13,2,6,1,11,3,6,85,0.002,true
14,2,6,1,10,3,9,130,0.003,true
15,2,6,1,10,3,11,140,0.003,true
16,2,5,1,10,3,10,101,0.002,true
17,2,6,1,9,3,7,67,0.001,true
18,2,6,1,10,3,7,132,0.003,true
19,2,4,1,9,3,11,92,0.002,true
20,3,6,1,10,3,10,176,0.005,true
21,3,6,1,9,3,15,213,0.006,true
22,3,6,1,9,3,9,139,0.004,true
23,3,6,1,10,3,8,206,0.006,true
24,3,6,1,11,3,20,481,0.018,true
25,3,5,1,7,3,10,173,0.005,true
26,3,6,1,8,3,15,167,0.006,true
27,3,4,1,8,3,18,391,0.013,true
28,3,5,1,7,3,9,147,0.004,true
29,4,5,1,10,3,20,157,0.005,true
30,3,5,1,10,3,13,102,0.003,true
31,4,5,1,9,3,19,294,0.009,true
32,4,5,1,8,3,18,187,0.006,true
33,3,5,1,8,3,11,123,0.003,true
34,3,5,1,8,3,14,265,0.009,true
35,4,5,1,8,3,14,179,0.005,true
36,4,4,1,5,3,19,717,0.024,true
37,3,5,1,9,3,13,122,0.004,true
38,4,6,1,8,3,16,205,0.006,true
39,4,5,1,8,3,14,154,0.004,true
40,4,6,1,9,3,13,333,0.011,true
41,4,5,1,9,3,9,123,0.003,true
42,3,5,1,8,3,11,184,0.005,true
43,4,5,1,9,3,11,219,0.006,true
44,4,5,1,8,3,9,234,0.006,true
45,3,5,1,10,3,7,126,0.003,true
46,3,5,1,8,3,13,210,0.006,true
47,4,5,1,9,3,13,208,0.006,true
48,4,5,1,8,3,10,244,0.007,true
49,3,5,1,9,3,7,138,0.003,true
50,3,5,1,7,3,14,373,0.011,true
51,4,5,1,7,3,12,133,0.003,true
52,4,5,1,9,3,8,120,0.003,true
53,3,5,1,8,3,9,211,0.006,true
54,3,5,1,7,3,13,287,0.008,true
55,4,5,1,9,3,13,235,0.007,true
56,3,5,1,8,3,9,126,0.003,true
57,3,5,1,8,3,11,199,0.005,true
58,4,5,1,9,3,13,201,0.006,true
59,4,5,1,8,3,11,183,0.005,true
60,3,5,1,9,3,7,129,0.003,true
61,3,5,1,8,3,13,221,0.006,true
62,4,5,1,9,3,13,235,0.006,true
63,3,5,1,10,3,9,126,0.003,true
64,3,5,1,8,3,11,199,0.005,true
65,3,5,1,8,3,11,156,0.004,true
66,4,5,1,8,3,10,237,0.006,true
67,3,5,1,8,3,7,129,0.003,true
68,4,5,1,8,3,15,323,0.009,true
69,3,5,1,9,3,9,89,0.002,true
70,3,5,1,9,3,9,137,0.003,true
71,4,5,1,9,3,11,124,0.003,true
72,2,5,1,11,3,1,30,0,true
73,4,5,1,8,3,13,277,0.008,true
74,3,5,1,10,3,8,113,0.003,true
75,4,6,1,10,3,13,103,0.003,true
76,3,5,1,9,3,6,51,0.001,true
77,4,6,1,8,3,15,267,0.007,true
78,3,5,1,8,3,9,114,0.003,true
79,4,5,1,8,3,14,361,0.01,true
80,3,5,1,10,3,7,126,0.003,true
81,3,5,1,7,3,13,210,0.006,true
82,4,5,1,9,3,12,156,0.004,true
83,4,5,1,8,3,10,184,0.005,true
84,3,5,1,8,3,7,140,0.003,true
85,3,5,1,7,3,14,372,0.01,true
86,4,5,1,8,3,12,133,0.004,true
87,4,5,1,9,3,8,120,0.003,true
88,3,5,1,8,3,9,211,0.005,true
89,3,5,1,7,3,13,221,0.006,true
90,4,5,1,8,3,13,235,0.007,true
91,3,5,1,8,3,11,189,0.005,true
92,3,5,1,9,3,7,147,0.003,true
93,3,5,1,7,3,11,209,0.006,true
94,4,6,1,9,3,9,130,0.004,true
95,2,6,1,10,3,12,173,0.004,true
96,3,6,1,9,3,18,260,0.008,true
97,3,6,1,11,3,13,93,0.003,true
98,3,6,1,6,3,12,73,0.002,true
99,3,6,1,9,3,10,133,0.003,true
100,4,6,1,8,3,16,229,0.007,true
101,3,5,1,9,3,11,126,0.004,true
102,3,5,1,8,3,11,200,0.006,true
103,4,5,1,9,3,13,205,0.006,true
104,4,5,1,8,3,10,237,0.007,true
105,3,5,1,9,3,7,129,0.003,true
106,3,5,1,8,3,13,221,0.006,true
107,3,5,1,7,3,11,176,0.005,true
108,4,5,1,7,3,12,251,0.007,true
