Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,3,2,0,41.33,0.13,1,4,266,267,147,0.132,true
1,1,1,3,0,123,0.112,3,1,40,123,0,0.113,true
2,2,7,7,3,123,0.129,3,7,280,843,104,0.14,true
3,1,1,3,0,615,0.131,15,1,40,615,0,0.138,true
4,1,1,3,0,615,0.135,15,1,40,615,0,0.143,true
5,1,1,5,3,615,0.135,15,1,40,615,0,0.142,true
6,1,2,2,6,615,0.134,15,1,40,615,0,0.141,true
7,1,2,3,5,615,0.16,15,1,40,615,0,0.167,true
8,1,2,2,5,615,0.136,15,1,40,615,0,0.143,true
9,1,1,5,2,615,0.135,15,1,40,615,0,0.143,true
10,1,3,9,3,615,0.14,15,1,40,615,0,0.148,true
11,1,0,2,0,615,0.14,15,1,40,615,0,0.148,true
12,1,0,2,0,615,0.139,15,1,40,615,0,0.147,true
13,1,0,2,0,615,0.138,15,1,40,615,0,0.146,true
14,1,0,2,0,615,0.14,15,1,40,615,0,0.149,true
15,1,0,2,0,615,0.139,15,1,40,615,0,0.147,true
16,1,0,2,0,615,0.139,15,1,40,615,0,0.147,true
17,1,1,2,0,615,0.14,15,1,40,615,0,0.149,true
18,1,2,6,1,615,0.141,15,1,40,615,0,0.149,true
19,1,3,5,3,615,0.138,15,1,40,615,0,0.146,true
20,1,3,8,3,615,0.146,15,1,40,615,0,0.155,true
21,1,0,2,0,615,0.139,15,1,40,615,0,0.146,true
22,1,0,2,0,615,0.137,15,1,40,615,0,0.145,true
23,1,0,2,0,615,0.142,15,1,40,615,0,0.15,true
24,3,23,7,1,1732.05,0.155,15,32,4475,67140,8208,2.07,true
25,2,4,5,5,180,0.065,15,12,272,4095,219,0.186,true
26,1,0,1,0,615,0.183,15,1,40,615,0,0.196,true
27,1,0,1,0,615,0.183,15,1,40,615,0,0.196,true
28,2,6,9,7,971.4,0.19,15,16,323,4860,281,0.328,true
29,2,4,5,5,180,0.062,15,12,272,4095,219,0.177,true
30,2,3,7,3,697.5,0.187,15,9,309,4650,257,0.32,true
31,1,4,9,5,615,0.192,15,1,40,615,0,0.207,true
32,1,3,8,2,615,0.195,15,1,40,615,0,0.211,true
33,1,4,9,7,615,0.193,15,1,40,615,0,0.208,true
34,1,3,8,2,615,0.189,15,1,40,615,0,0.203,true
35,2,6,13,5,659.55,0.195,15,7,223,3360,183,0.297,true
36,3,4,8,4,2974.5,0.205,15,48,6455,96840,11949,4.524,true
37,2,4,12,4,624.9,0.2,15,9,315,4740,263,0.35,true
38,2,3,6,2,1763.4,0.205,15,28,729,10950,689,0.569,true
39,1,1,2,0,615,0.199,15,1,40,615,0,0.215,true
40,1,2,7,1,615,0.203,15,1,40,615,0,0.219,true
41,1,5,7,5,615,0.201,15,1,40,615,0,0.217,true
42,1,5,9,6,615,0.2,15,1,40,615,0,0.215,true
43,2,5,10,5,644.7,0.199,15,7,223,3360,183,0.303,true
44,2,4,10,3,2034,0.202,15,33,769,11550,729,0.568,true
45,2,5,10,5,1459.8,0.203,15,22,639,9600,599,0.512,true
46,1,5,8,6,615,0.202,15,1,40,615,0,0.218,true
47,1,5,8,5,615,0.207,15,1,40,615,0,0.224,true
48,1,5,9,6,615,0.204,15,1,40,615,0,0.22,true
49,1,5,8,6,615,0.2,15,1,40,615,0,0.216,true
50,1,4,10,5,615,0.2,15,1,40,615,0,0.216,true
51,2,4,8,4,1157.55,0.195,15,20,281,4230,235,0.329,true
52,1,4,10,5,615,0.199,15,1,40,615,0,0.215,true
53,2,9,6,5,1210.65,0.204,15,19,559,8400,519,0.479,true
54,1,4,7,6,615,0.206,15,1,40,615,0,0.223,true
55,1,8,9,6,615,0.206,15,1,40,615,0,0.222,true
56,2,7,8,8,664.5,0.206,15,5,141,2130,101,0.274,true
57,1,7,8,6,615,0.203,15,1,40,615,0,0.219,true
58,3,4,4,7,378,0.096,15,24,1081,16230,1391,0.715,true
59,3,6,11,6,629.85,0.21,15,11,299,4500,367,0.38,true
60,3,5,10,6,1155.9,0.18,15,28,894,13425,1231,0.716,true
61,3,6,9,6,906.15,0.124,15,26,3546,53205,6327,2.507,true
62,1,4,9,5,615,0.211,15,1,40,615,0,0.228,true
63,2,6,7,5,1987.8,0.216,15,35,561,8430,514,0.516,true
64,3,7,7,6,1643.85,0.173,15,43,4202,63045,7479,2.997,true
65,2,7,8,6,1816.2,0.216,15,28,729,10950,689,0.6,true
66,1,7,8,6,615,0.206,15,1,40,615,0,0.222,true
67,3,6,3,8,388.35,0.141,15,16,280,4215,233,0.285,true
68,3,11,7,12,1525.65,0.188,15,38,4979,74700,9082,3.799,true
69,2,4,7,5,615,0.217,15,3,54,825,14,0.243,true
70,3,9,7,7,973.05,0.217,15,7,327,4920,392,0.415,true
71,1,6,8,8,615,0.212,15,1,40,615,0,0.229,true
72,1,5,8,5,615,0.212,15,1,40,615,0,0.23,true
73,3,7,7,7,679.35,0.213,15,6,609,9150,915,0.594,true
74,1,7,10,6,615,0.213,15,1,40,615,0,0.23,true
75,3,4,4,3,1194.15,0.221,15,21,1839,27600,2237,1.377,true
76,2,15,4,7,685.95,0.244,15,11,449,6750,397,0.525,true
77,2,13,5,10,661.65,0.161,15,10,266,4005,221,0.327,true
78,1,21,2,7,615,0.247,15,1,40,615,0,0.266,true
79,1,2,4,2,210,0.091,15,1,13,210,0,0.097,true
