Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,33,2696.44,0.584,1,63,203000,203001,158608,4.241,true
1,4,25,1,40,112612,0.493,24,111,1453364,34880760,2840430,1068.54,true
2,2,25,1,41,316043,0.564,24,101,9022,216552,7337,4.866,true
3,3,25,1,42,430753,0.49,24,120,279023,6696576,453904,180.794,true
4,3,25,1,38,479767,0.427,24,189,278057,6673392,487371,186.533,true
5,2,25,1,29,7.68925e+06,0.729,24,130,14407,345792,14180,8.177,true
6,2,17,0,16,13055.5,0.711,24,21,3801,91248,3601,2.567,true
7,3,25,1,40,5.7404e+07,0.628,24,206,330948,7942776,600297,225.46,true
8,1,15,1,17,1032,0.161,24,1,42,1032,0,0.177,true
