Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,30,1764.63,0.399,1,63,139902,139903,122222,3.141,true
1,3,25,1,42,601633,0.669,24,111,179740,4313784,285973,113.009,true
2,2,24,1,33,9805.2,0.242,24,43,4315,103584,3287,2.206,true
3,2,25,1,32,20396.2,0.49,24,41,4226,101448,3366,2.446,true
4,2,25,1,32,97350.2,0.355,24,81,5786,138888,4879,3.069,true
5,2,25,1,31,279013,0.495,24,103,6395,153504,5421,3.506,true
6,3,25,1,32,189034,0.496,24,84,58312,1399512,105623,37.808,true
7,2,25,1,30,917141,0.491,24,111,8522,204552,8366,4.623,true
8,1,11,0,11,3384,0.474,24,1,140,3384,0,0.52,true
9,2,14,0,14,8642.88,0.47,24,21,2601,62448,2461,1.656,true
10,2,25,1,33,429718,0.5,24,102,5355,128544,4869,3.019,true
11,2,25,1,29,15672,0.36,24,36,3025,72624,2923,1.777,true
