Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,4,3,0,82.54,0.223,1,4,557,558,305,0.229,true
1,2,8,8,3,486,0.255,6,7,760,4566,384,0.314,true
2,1,2,6,3,2430,0.268,30,1,80,2430,0,0.295,true
3,1,3,3,11,2430,0.267,30,1,80,2430,0,0.293,true
4,1,2,5,7,2430,0.268,30,1,80,2430,0,0.296,true
5,1,3,9,3,2430,0.276,30,1,80,2430,0,0.305,true
6,1,0,2,0,2430,0.278,30,1,80,2430,0,0.308,true
7,1,0,2,0,2430,0.278,30,1,80,2430,0,0.309,true
8,1,1,2,0,2430,0.281,30,1,80,2430,0,0.311,true
9,1,3,8,4,2430,0.28,30,1,80,2430,0,0.31,true
10,1,3,8,3,2430,0.275,30,1,80,2430,0,0.304,true
11,1,0,2,0,2430,0.273,30,1,80,2430,0,0.301,true
12,4,27,11,6,12147.6,0.211,30,95,278488,8354670,757454,338.511,true
13,1,0,1,0,2430,0.366,30,1,80,2430,0,0.418,true
14,2,6,10,11,4191.9,0.255,30,33,779,23400,642,0.909,true
15,2,6,13,7,2786.4,0.381,30,9,709,21300,617,1.016,true
16,1,4,11,9,2349,0.419,29,1,80,2349,0,0.472,true
17,2,6,17,5,2438.32,0.383,29,7,463,13456,383,0.786,true
18,4,8,18,8,38309.9,0.407,29,82,281275,8157004,786796,486.966,true
19,2,4,6,2,9073.52,0.403,29,28,1849,53650,1769,2.207,true
20,1,5,10,6,2349,0.401,29,1,80,2349,0,0.457,true
21,2,6,12,11,2680.76,0.397,29,6,283,8236,203,0.641,true
22,2,5,15,7,32092.6,0.402,29,55,2863,83056,2783,3.161,true
23,1,7,14,11,2349,0.41,29,1,80,2349,0,0.466,true
24,1,6,11,12,2349,0.395,29,1,80,2349,0,0.45,true
25,2,4,12,8,1407.95,0.166,29,22,887,25752,757,0.981,true
26,2,9,12,10,3509.58,0.258,29,18,1138,33031,1022,1.351,true
27,1,8,10,12,2349,0.413,29,1,80,2349,0,0.47,true
28,2,8,11,13,2728.61,0.407,29,5,301,8758,221,0.683,true
29,3,8,11,12,670.19,0.107,29,30,2818,81751,4256,3.497,true
30,3,6,14,12,5934.85,0.253,29,52,9276,269033,15005,12.176,true
31,2,6,9,9,96.86,0.067,29,34,731,21228,612,0.79,true
32,3,9,12,10,58624.9,0.297,29,92,19306,559903,35547,28.321,true
33,3,11,10,13,10629.4,0.19,29,89,21671,628488,38558,31.066,true
34,3,12,9,15,12559.9,0.345,29,43,12336,357773,21865,17.939,true
35,3,9,11,13,4400.17,0.427,29,7,952,27637,1299,1.546,true
36,3,9,13,12,2747.75,0.429,29,6,794,23055,1060,1.358,true
37,3,9,11,8,36860.4,0.399,29,64,11229,325670,14482,14.786,true
38,2,26,8,16,1423.03,0.215,29,21,1252,36337,1112,1.578,true
39,1,23,5,8,1566,0.308,29,1,53,1566,0,0.353,true
