Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,7,5,1,4,916,21,0.008,true
1,2,8,7,2,7,847,42,0.22,true
2,1,2,5,11,1,100,42,0.039,true
3,1,2,6,10,1,100,42,0.041,true
4,1,3,9,3,1,100,42,0.044,true
5,1,0,2,0,1,100,42,0.045,true
6,1,1,2,0,1,100,42,0.045,true
7,1,3,8,4,1,100,42,0.045,true
8,1,3,8,3,1,100,42,0.043,true
9,3,23,7,1,32,13871,42,13.651,true
10,2,4,5,5,12,872,41,0.982,true
11,2,6,10,11,33,799,37,0.877,true
12,2,6,16,8,9,909,34,0.995,true
13,1,5,13,10,1,100,34,0.08,true
14,4,10,23,9,172,1979204,34,3428.77,true
15,2,7,12,5,68,4489,34,4.82,true
16,1,6,12,10,1,100,34,0.076,true
17,2,6,12,11,38,2487,34,2.523,true
18,2,7,17,12,59,2429,34,2.61,true
19,1,6,13,14,1,100,34,0.073,true
20,2,4,12,10,22,1007,34,0.994,true
21,2,9,12,12,71,2780,34,2.921,true
22,2,11,16,16,9,553,34,0.548,true
23,3,8,11,14,80,18951,34,27.39,true
24,3,6,14,15,52,11004,34,15.279,true
25,3,9,12,13,75,12582,34,17.062,true
26,3,10,11,12,72,20824,34,28.315,true
27,3,12,9,17,56,30965,34,44.382,true
28,3,9,11,16,7,1111,34,1.321,true
29,3,10,14,12,6,1412,34,1.779,true
30,3,26,7,14,36,12534,34,17.853,true
31,2,24,5,12,30,1337,34,1.485,true
