Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,25,1,23,1,40,35523,0.72,true
1,1,11,1,17,24,1,70,0.031,true
2,1,12,1,17,24,1,70,0.032,true
3,3,25,1,30,24,56,2837,1.473,true
4,1,12,1,18,24,1,70,0.026,true
5,2,13,1,18,24,39,1466,0.665,true
6,1,13,1,18,24,1,70,0.025,true
7,2,15,1,20,24,39,1500,0.632,true
8,1,14,1,15,24,1,70,0.023,true
9,2,17,1,22,24,29,1481,0.631,true
10,2,17,1,21,24,11,484,0.203,true
11,1,16,1,17,24,1,70,0.024,true
12,2,20,1,20,24,51,1843,0.808,true
13,2,21,1,24,24,11,651,0.278,true
14,1,16,1,20,24,1,70,0.024,true
15,2,15,1,15,24,30,1651,0.697,true
16,1,7,0,7,24,1,70,0.022,true
17,1,5,0,5,24,1,70,0.023,true
18,1,6,0,6,24,1,70,0.023,true
19,2,9,0,9,24,21,1201,0.507,true
20,1,18,1,21,24,1,70,0.023,true
21,2,19,1,20,24,8,529,0.232,true
22,2,24,1,26,24,36,1873,0.829,true
23,1,13,1,14,24,1,32,0.011,true
