Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,25,1,27,1,63,98716,1.835,true
1,2,23,1,31,24,17,1633,0.827,true
2,2,25,1,33,24,34,3027,1.353,true
3,2,20,1,27,24,64,3444,1.467,true
4,2,20,1,26,24,26,2226,0.954,true
5,2,25,1,27,24,18,1329,0.625,true
6,2,25,1,30,24,11,776,0.338,true
7,2,25,1,28,24,2,218,0.09,true
8,2,25,1,32,24,23,2170,0.997,true
9,2,25,1,27,24,71,5251,2.536,true
10,1,12,0,11,24,1,110,0.036,true
11,1,7,0,7,24,1,110,0.036,true
12,2,16,1,18,24,81,5601,2.548,true
13,2,25,1,30,24,79,4217,1.866,true
14,2,25,1,29,24,36,3025,1.354,true
