Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,3,2,0,1,4,406,0.003,true
1,2,8,7,3,3,7,386,0.012,true
2,1,1,3,0,18,1,60,0.01,true
3,1,2,6,3,18,1,60,0.011,true
4,1,2,2,8,18,1,60,0.011,true
5,1,2,3,8,18,1,60,0.011,true
6,1,1,7,2,18,1,60,0.011,true
7,1,3,7,3,18,1,60,0.013,true
8,1,0,2,0,18,1,60,0.013,true
9,1,0,2,0,18,1,60,0.013,true
10,1,0,2,0,18,1,60,0.013,true
11,1,1,2,0,18,1,60,0.012,true
12,1,2,6,4,18,1,60,0.013,true
13,1,4,9,3,18,1,60,0.012,true
14,1,0,2,0,18,1,60,0.012,true
15,1,0,2,0,18,1,60,0.012,true
16,4,27,10,5,18,77,66389,42.424,true
17,1,1,2,1,18,1,60,0.024,true
18,1,3,7,3,18,1,60,0.026,true
19,2,6,7,9,18,34,603,0.323,true
20,2,4,10,4,18,9,509,0.265,true
21,1,3,9,5,18,1,60,0.028,true
22,1,4,11,8,18,1,60,0.025,true
23,2,6,14,5,18,7,343,0.192,true
24,4,5,12,5,18,79,157033,146.142,true
25,2,6,12,5,18,53,1769,1.005,true
26,1,2,3,0,18,1,60,0.023,true
27,1,5,8,6,18,1,60,0.025,true
28,1,5,9,8,18,1,60,0.024,true
29,2,6,12,6,18,39,1559,0.803,true
30,2,6,14,8,18,59,1593,0.861,true
31,1,5,9,7,18,1,60,0.024,true
32,1,5,9,9,18,1,60,0.024,true
33,1,5,11,8,18,1,60,0.025,true
34,2,4,8,7,18,20,401,0.221,true
35,2,9,11,6,18,18,863,0.479,true
36,1,4,9,9,18,1,60,0.027,true
37,2,9,8,11,18,9,293,0.167,true
38,3,9,10,7,18,49,14843,11.338,true
39,3,8,11,11,18,13,1494,1.004,true
40,3,6,13,10,18,44,3510,2.36,true
41,2,4,10,7,18,4,156,0.081,true
42,2,8,10,8,18,53,1375,0.829,true
43,2,8,8,8,18,52,1375,0.854,true
44,3,10,8,10,18,45,4732,3.344,true
45,3,11,7,14,18,51,13788,10.979,true
46,2,4,9,7,18,3,74,0.036,true
47,3,9,9,10,18,7,857,0.58,true
48,1,9,11,10,18,1,60,0.027,true
49,3,7,12,8,18,12,981,0.698,true
50,3,7,6,8,18,36,4484,3.277,true
51,2,24,5,12,18,10,286,0.17,true
52,1,23,5,8,18,1,53,0.024,true
