Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,25,503.37,0.174,1,60,52058,52059,49090,1.171,true
1,1,13,1,18,1944,0.339,24,1,80,1944,0,0.366,true
2,3,25,1,35,19948.8,0.311,24,57,15828,379896,28642,10.386,true
3,1,13,1,22,1944,0.284,24,1,80,1944,0,0.312,true
4,2,16,1,20,1301.76,0.114,24,25,1071,25728,779,0.592,true
5,1,16,1,21,1944,0.288,24,1,80,1944,0,0.316,true
6,2,16,1,24,9813.84,0.291,24,35,1794,43080,1410,1.103,true
7,1,16,1,17,1944,0.286,24,1,80,1944,0,0.314,true
8,2,20,1,27,4932.48,0.29,24,21,874,21000,790,0.697,true
9,2,18,1,22,16215.8,0.255,24,50,2170,52104,1794,1.248,true
10,2,20,1,20,1944,0.284,24,3,159,3840,79,0.349,true
11,1,18,1,23,1944,0.289,24,1,80,1944,0,0.317,true
12,2,25,1,26,8216.64,0.288,24,30,1600,38424,1518,1.04,true
13,2,17,1,16,22462.1,0.287,24,50,2751,66048,2671,1.574,true
14,1,8,0,8,1944,0.288,24,1,80,1944,0,0.315,true
15,1,5,0,5,1944,0.277,24,1,80,1944,0,0.303,true
16,1,6,0,6,1944,0.278,24,1,80,1944,0,0.304,true
17,2,16,1,17,33740.2,0.287,24,60,3001,72048,2921,1.701,true
18,2,25,1,25,43201.9,0.294,24,67,2693,64656,2469,1.572,true
19,2,25,1,27,50213.8,0.293,24,68,2667,64032,2450,1.539,true
20,1,15,1,17,1032,0.154,24,1,42,1032,0,0.17,true
