Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,10,0,0,1,2,64,0,true
1,1,10,0,0,10,1,10,0.001,true
2,1,10,0,5,10,1,10,0.001,true
3,1,10,0,10,10,1,10,0.001,true
4,1,10,0,9,10,1,10,0.001,true
5,1,4,1,4,10,1,10,0.001,true
6,1,2,1,2,10,1,10,0.001,true
7,1,3,1,4,10,1,10,0.002,true
8,1,3,1,4,10,1,10,0.001,true
9,1,4,1,4,10,1,10,0.001,true
10,1,3,1,3,10,1,10,0.001,true
11,1,2,1,2,10,1,10,0.001,true
12,1,3,1,4,10,1,10,0.001,true
13,1,3,1,4,10,1,10,0.002,true
14,1,4,1,4,10,1,10,0.001,true
15,1,3,1,3,10,1,10,0.002,true
16,1,2,1,2,10,1,10,0.001,true
17,1,3,1,4,10,1,10,0.001,true
18,1,3,1,4,10,1,10,0.001,true
19,1,4,1,4,10,1,10,0.001,true
20,1,3,1,3,10,1,10,0.001,true
21,2,9,1,8,10,4,33,0.007,true
22,1,10,0,10,10,1,10,0.002,true
23,2,9,0,9,10,7,43,0.008,true
24,1,3,1,4,10,1,10,0.001,true
25,1,3,1,4,10,1,10,0.001,true
26,1,3,1,2,10,1,10,0.001,true
27,1,2,1,3,10,1,10,0.003,true
28,1,3,1,3,10,1,10,0.002,true
29,1,2,1,3,10,1,10,0.002,true
30,1,3,1,4,10,1,10,0.003,true
31,1,3,1,4,10,1,10,0.003,true
32,1,5,1,4,10,1,10,0.003,true
33,1,3,1,4,10,1,10,0.003,true
34,1,3,1,2,10,1,10,0.002,true
35,1,2,1,3,10,1,10,0.002,true
36,1,3,1,3,10,1,10,0.003,true
37,1,3,1,4,10,1,10,0.003,true
38,2,5,1,5,10,6,38,0.008,true
39,1,3,1,3,10,1,10,0.001,true
40,1,4,1,3,10,1,10,0.001,true
41,1,3,1,2,10,1,10,0.001,true
42,1,4,1,3,10,1,10,0.001,true
43,1,3,1,2,10,1,10,0.001,true
44,1,2,1,3,10,1,10,0.001,true
45,1,3,1,4,10,1,10,0.001,true
46,1,4,1,5,10,1,10,0.001,true
47,1,3,1,4,10,1,10,0.001,true
48,1,3,1,4,10,1,10,0.001,true
49,1,3,1,2,10,1,10,0.001,true
50,1,2,1,3,10,1,10,0.001,true
51,1,2,1,3,10,1,10,0.001,true
52,1,3,1,4,10,1,10,0.002,true
53,2,3,1,4,10,2,19,0.003,true
54,1,2,1,2,10,1,10,0.001,true
55,1,3,1,4,10,1,10,0.001,true
56,1,2,1,3,10,1,10,0.001,true
57,1,3,1,4,10,1,10,0.001,true
58,1,2,1,3,10,1,10,0.001,true
59,1,3,1,3,10,1,10,0.001,true
60,1,2,1,3,10,1,10,0.001,true
61,1,2,1,3,9,1,10,0.001,true
62,1,3,1,4,9,1,10,0.001,true
63,1,3,1,4,9,1,10,0.001,true
64,1,4,1,5,9,1,10,0.001,true
