Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,25,1,26,1,63,68168,1.364,true
1,1,15,1,22,24,1,90,0.04,true
2,3,25,1,35,24,116,71095,44.75,true
3,1,15,1,23,24,1,90,0.031,true
4,2,17,1,23,24,33,2143,1.039,true
5,2,17,1,22,24,16,919,0.436,true
6,1,18,1,20,24,1,90,0.033,true
7,2,21,1,28,24,29,2081,1.036,true
8,2,21,1,24,24,63,2898,1.384,true
9,2,23,1,24,24,32,2170,1.039,true
10,2,25,1,29,24,25,1874,0.884,true
11,2,23,1,25,24,31,2251,1.076,true
12,1,11,0,11,24,1,90,0.029,true
13,1,6,0,6,24,1,90,0.032,true
14,1,7,0,7,24,1,90,0.033,true
15,2,16,1,17,24,80,4001,1.94,true
16,2,25,1,26,24,67,3205,1.546,true
17,2,25,1,30,24,53,2891,1.479,true
18,1,11,1,11,24,1,22,0.008,true
