Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,25,1,29,1,63,126782,2.371,true
1,3,25,1,41,24,94,114871,69.831,true
2,2,24,1,32,24,6,690,0.291,true
3,1,22,1,30,24,1,130,0.044,true
4,2,25,1,29,24,14,1802,0.781,true
5,3,25,1,33,24,22,3916,1.99,true
6,2,25,1,29,24,51,4146,1.874,true
7,2,25,1,34,24,109,5343,2.473,true
8,2,23,1,22,24,50,5251,2.486,true
9,1,9,0,9,24,1,130,0.05,true
10,2,17,1,18,24,81,7201,3.43,true
11,3,25,1,31,24,87,22705,13.553,true
12,1,24,1,28,24,1,82,0.028,true
