Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,25,0,5,31,0.089,1,2,478,479,4,0.095,true
1,2,24,1,21,1545,0.11,25,21,401,10050,371,0.301,true
2,1,5,1,8,775,0.109,25,1,30,775,0,0.121,true
3,1,6,1,7,775,0.108,25,1,30,775,0,0.12,true
4,1,6,1,9,775,0.109,25,1,30,775,0,0.12,true
5,1,6,1,9,775,0.11,25,1,30,775,0,0.121,true
6,1,6,1,9,775,0.108,25,1,30,775,0,0.119,true
7,3,25,1,25,863,0.11,25,13,636,15925,1006,0.488,true
8,1,5,1,8,775,0.111,25,1,30,775,0,0.122,true
9,1,6,1,9,775,0.109,25,1,30,775,0,0.121,true
10,1,7,1,10,775,0.109,25,1,30,775,0,0.121,true
11,1,5,1,9,775,0.122,25,1,30,775,0,0.133,true
12,2,8,1,9,385.25,0.058,25,6,148,3725,100,0.127,true
13,1,6,1,8,775,0.109,25,1,30,775,0,0.12,true
14,1,6,1,8,775,0.11,25,1,30,775,0,0.122,true
15,1,7,1,10,775,0.109,25,1,30,775,0,0.121,true
16,1,5,1,9,775,0.112,25,1,30,775,0,0.124,true
17,2,7,1,10,838.25,0.111,25,14,259,6500,189,0.231,true
18,1,6,1,8,775,0.108,25,1,30,775,0,0.12,true
19,1,8,1,8,775,0.109,25,1,30,775,0,0.121,true
20,1,6,1,8,775,0.11,25,1,30,775,0,0.122,true
21,2,9,1,11,471.5,0.076,25,18,281,7050,223,0.209,true
22,1,6,1,9,775,0.109,25,1,30,775,0,0.12,true
23,1,7,1,9,775,0.111,25,1,30,775,0,0.122,true
24,1,6,1,9,775,0.11,25,1,30,775,0,0.122,true
25,2,9,1,10,1718.5,0.11,25,21,342,8575,278,0.272,true
26,1,8,1,10,775,0.109,25,1,30,775,0,0.121,true
27,1,8,1,7,775,0.109,25,1,30,775,0,0.121,true
28,1,6,1,8,775,0.11,25,1,30,775,0,0.121,true
29,2,11,1,12,1468,0.111,25,18,379,9500,349,0.292,true
30,1,8,1,9,775,0.109,25,1,30,775,0,0.121,true
31,1,8,1,9,775,0.109,25,1,30,775,0,0.121,true
32,2,13,1,13,1853,0.111,25,30,400,10025,368,0.301,true
33,1,7,1,9,775,0.109,25,1,30,775,0,0.12,true
34,1,7,1,9,775,0.11,25,1,30,775,0,0.121,true
35,2,11,1,11,1831,0.111,25,30,451,11300,421,0.325,true
36,1,5,0,5,775,0.106,25,1,30,775,0,0.117,true
37,1,4,0,4,775,0.107,25,1,30,775,0,0.118,true
38,1,4,0,4,775,0.107,25,1,30,775,0,0.118,true
39,1,3,0,3,775,0.108,25,1,30,775,0,0.119,true
40,1,2,0,2,775,0.107,25,1,30,775,0,0.118,true
41,1,3,0,3,775,0.107,25,1,30,775,0,0.118,true
42,1,3,0,3,775,0.109,25,1,30,775,0,0.12,true
43,1,3,0,3,775,0.113,25,1,30,775,0,0.124,true
44,1,3,0,3,775,0.106,25,1,30,775,0,0.117,true
45,1,2,0,2,775,0.106,25,1,30,775,0,0.116,true
46,2,9,1,10,1517.5,0.113,25,20,401,10050,371,0.304,true
47,1,7,1,8,775,0.11,25,1,30,775,0,0.122,true
48,1,10,1,12,775,0.11,25,1,30,775,0,0.122,true
49,2,12,1,12,863,0.11,25,8,209,5250,179,0.209,true
50,1,7,1,8,775,0.109,25,1,30,775,0,0.12,true
51,2,13,1,14,780.5,0.11,25,5,113,2850,83,0.159,true
52,1,8,1,10,775,0.109,25,1,30,775,0,0.121,true
53,1,7,1,9,775,0.112,25,1,30,775,0,0.123,true
54,1,11,1,11,575,0.084,25,1,22,575,0,0.092,true
