Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,27,1,11,511,0.004,true
1,2,6,1,28,3,37,637,0.018,true
2,2,6,1,29,3,40,526,0.015,true
3,2,6,1,23,3,30,378,0.01,true
4,2,6,1,25,3,26,545,0.014,true
5,2,6,1,25,3,30,381,0.01,true
6,3,6,1,21,3,41,1216,0.035,true
7,3,6,1,24,3,46,1289,0.039,true
8,4,6,1,22,3,48,2422,0.079,true
9,4,5,1,19,3,57,3902,0.125,true
10,4,5,1,18,3,59,3510,0.12,true
11,4,6,1,19,3,50,1318,0.038,true
12,4,6,1,19,3,45,8057,0.233,true
13,4,5,1,20,3,42,4996,0.144,true
14,4,5,1,19,3,40,5502,0.153,true
15,4,5,1,17,3,45,7083,0.207,true
16,4,5,1,17,3,39,6057,0.171,true
17,4,5,1,18,3,47,4251,0.126,true
18,4,5,1,19,3,37,4067,0.111,true
19,4,5,1,20,3,46,6556,0.191,true
20,4,5,1,17,3,45,3327,0.098,true
21,4,5,1,22,3,31,1314,0.037,true
22,4,6,1,19,3,42,2062,0.068,true
23,4,6,1,19,3,48,7326,0.221,true
24,4,5,1,20,3,37,3767,0.107,true
25,4,5,1,17,3,43,7071,0.202,true
26,4,5,1,17,3,45,6176,0.176,true
27,4,5,1,19,3,48,5647,0.167,true
28,4,6,1,22,3,44,1343,0.042,true
29,4,6,1,22,3,52,1310,0.039,true
30,4,6,1,21,3,47,3546,0.103,true
31,4,5,1,19,3,39,5098,0.147,true
32,4,5,1,17,3,40,5841,0.165,true
33,4,5,1,19,3,46,6925,0.212,true
34,4,5,1,20,3,44,5140,0.163,true
35,4,5,1,18,3,44,4283,0.137,true
36,4,5,1,19,3,47,3485,0.106,true
37,4,5,1,21,3,42,3190,0.103,true
38,4,5,1,17,3,43,4141,0.134,true
39,4,5,1,15,3,50,3991,0.133,true
40,4,6,1,19,3,51,1984,0.062,true
41,4,6,1,23,3,43,1380,0.043,true
42,4,6,1,24,3,44,1637,0.053,true
43,4,5,1,20,3,37,1902,0.057,true
44,4,5,1,22,3,43,2723,0.084,true
45,3,6,1,19,3,39,1821,0.056,true
46,3,6,1,23,3,50,1264,0.039,true
47,3,6,1,24,3,39,1413,0.042,true
48,3,6,1,21,3,45,1451,0.043,true
49,3,6,1,22,3,44,1351,0.04,true
50,3,6,1,23,3,43,1358,0.041,true
51,3,6,1,23,3,44,1025,0.031,true
52,3,6,1,20,3,36,842,0.024,true
53,3,6,1,22,3,48,1463,0.044,true
54,3,6,1,24,3,30,787,0.024,true
55,3,6,1,24,3,35,996,0.029,true
56,3,6,1,23,3,40,955,0.03,true
57,3,6,1,24,3,46,1097,0.034,true
58,3,6,1,21,3,29,1328,0.04,true
59,3,6,1,25,3,27,822,0.027,true
60,3,6,1,20,3,33,893,0.026,true
61,3,6,1,22,3,36,1107,0.032,true
62,3,6,1,23,3,39,969,0.028,true
63,3,6,1,25,3,33,1016,0.029,true
64,3,6,1,26,3,35,1420,0.041,true
65,3,6,1,21,3,32,960,0.027,true
66,3,6,1,18,3,42,987,0.028,true
67,3,6,1,25,3,35,1006,0.029,true
68,3,6,1,23,3,39,1249,0.037,true
69,3,6,1,21,3,29,1127,0.031,true
70,3,6,1,23,3,38,873,0.026,true
71,3,6,1,25,3,46,1154,0.034,true
72,3,6,1,23,3,34,865,0.024,true
73,3,6,1,25,3,34,1307,0.037,true
74,3,6,1,24,3,39,1173,0.034,true
75,3,6,1,23,3,29,1008,0.03,true
76,3,6,1,22,3,36,1196,0.035,true
77,3,6,1,22,3,35,870,0.026,true
78,3,6,1,19,3,36,1169,0.035,true
79,3,6,1,24,3,35,1434,0.041,true
80,3,6,1,24,3,33,1229,0.036,true
81,3,6,1,22,3,36,1256,0.037,true
82,3,6,1,22,3,44,1037,0.032,true
83,2,6,1,23,3,36,612,0.018,true
84,2,6,1,25,3,30,439,0.012,true
85,2,6,1,25,3,29,484,0.012,true
86,2,6,1,26,3,31,395,0.011,true
87,2,6,1,26,3,22,580,0.016,true
88,2,6,1,26,3,28,401,0.011,true
89,2,6,1,25,3,25,449,0.013,true
90,2,6,1,24,3,20,314,0.009,true
91,2,6,1,23,3,25,415,0.011,true
92,2,6,1,24,3,26,409,0.011,true
93,2,6,1,25,3,20,384,0.012,true
94,2,6,1,26,3,27,437,0.013,true
95,2,6,1,28,3,27,340,0.01,true
96,2,6,1,25,3,32,448,0.014,true
97,2,6,1,23,3,25,343,0.01,true
98,2,6,1,22,3,14,253,0.007,true
