Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,27,1,11,541,0.004,true
1,2,6,1,29,3,42,755,0.021,true
2,2,6,1,29,3,47,547,0.015,true
3,2,6,1,28,3,32,446,0.011,true
4,2,6,1,26,3,28,452,0.011,true
5,3,6,1,27,3,42,1149,0.033,true
6,3,6,1,24,3,43,1602,0.05,true
7,4,6,1,21,3,55,2006,0.065,true
8,4,5,1,20,3,72,5947,0.2,true
9,4,5,1,20,3,62,3549,0.126,true
10,4,6,1,21,3,55,2062,0.064,true
11,4,5,1,21,3,49,8238,0.251,true
12,4,5,1,21,3,41,5919,0.177,true
13,4,5,1,19,3,48,7957,0.238,true
14,4,5,1,19,3,45,6528,0.195,true
15,4,5,1,20,3,45,5929,0.173,true
16,4,5,1,20,3,48,4900,0.144,true
17,4,5,1,22,3,46,6103,0.183,true
18,4,5,1,19,3,50,4728,0.141,true
19,4,5,1,23,3,36,2119,0.059,true
20,4,6,1,21,3,44,2168,0.064,true
21,4,6,1,20,3,54,8794,0.273,true
22,4,5,1,21,3,47,5255,0.166,true
23,4,5,1,19,3,45,7139,0.233,true
24,4,5,1,19,3,50,7854,0.241,true
25,4,6,1,21,3,45,3285,0.097,true
26,4,6,1,26,3,53,1806,0.058,true
27,4,6,1,23,3,49,3254,0.099,true
28,4,5,1,20,3,47,9023,0.275,true
29,4,5,1,17,3,44,8146,0.241,true
30,4,5,1,20,3,53,10256,0.314,true
31,4,5,1,21,3,47,7328,0.218,true
32,4,5,1,20,3,50,3954,0.118,true
33,4,5,1,21,3,54,3793,0.117,true
34,4,5,1,19,3,47,2666,0.078,true
35,4,5,1,18,3,51,4347,0.132,true
36,4,6,1,22,3,56,3556,0.114,true
37,4,6,1,23,3,47,1677,0.051,true
38,4,6,1,24,3,43,1726,0.052,true
39,4,6,1,21,3,44,4447,0.135,true
40,4,6,1,23,3,46,3135,0.092,true
41,3,6,1,24,3,46,2204,0.066,true
42,3,6,1,26,3,49,1514,0.047,true
43,3,6,1,24,3,50,1818,0.052,true
44,3,6,1,24,3,51,1628,0.049,true
45,3,6,1,27,3,49,1243,0.037,true
46,3,6,1,27,3,44,976,0.029,true
47,3,6,1,23,3,42,883,0.025,true
48,3,6,1,25,3,50,1545,0.047,true
49,3,6,1,25,3,33,1060,0.031,true
50,3,6,1,26,3,35,1043,0.03,true
51,3,6,1,25,3,48,1182,0.036,true
52,3,6,1,22,3,49,1381,0.042,true
53,3,6,1,23,3,36,1222,0.035,true
54,3,6,1,22,3,42,971,0.027,true
55,3,6,1,24,3,38,1267,0.037,true
56,3,6,1,27,3,38,1182,0.034,true
57,3,6,1,25,3,37,906,0.027,true
58,3,6,1,26,3,43,1408,0.041,true
59,3,6,1,22,3,36,1088,0.03,true
60,3,6,1,20,3,48,1123,0.032,true
61,3,6,1,26,3,44,1236,0.036,true
62,3,6,1,22,3,38,1086,0.032,true
63,3,6,1,22,3,44,1278,0.036,true
64,3,6,1,22,3,35,1031,0.031,true
65,3,6,1,28,3,41,1039,0.032,true
66,3,6,1,26,3,37,1449,0.041,true
67,3,6,1,24,3,41,1116,0.034,true
68,3,6,1,24,3,28,937,0.028,true
69,3,6,1,25,3,35,1250,0.037,true
70,3,6,1,24,3,37,922,0.028,true
71,3,6,1,23,3,42,1233,0.036,true
72,3,6,1,23,3,37,1414,0.041,true
73,3,6,1,24,3,39,2185,0.061,true
74,3,6,1,22,3,47,1406,0.042,true
75,3,6,1,27,3,41,648,0.018,true
76,2,6,1,31,3,31,533,0.014,true
77,2,6,1,26,3,27,492,0.012,true
78,2,6,1,26,3,30,429,0.011,true
79,2,6,1,29,3,26,623,0.016,true
80,2,6,1,27,3,33,443,0.012,true
81,2,6,1,29,3,25,468,0.013,true
82,2,6,1,24,3,20,326,0.008,true
83,2,6,1,29,3,33,552,0.014,true
84,2,6,1,25,3,27,400,0.01,true
85,2,6,1,28,3,25,502,0.013,true
86,2,6,1,29,3,30,472,0.012,true
87,2,6,1,27,3,35,470,0.012,true
88,2,6,1,27,3,29,416,0.01,true
89,2,6,1,24,3,17,275,0.007,true
