Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
154,1,3,1,11,1,50,1,0,true
155,2,4,1,12,9,126,1,0.001,true
156,2,4,1,13,12,142,1,0.001,true
157,2,4,1,11,7,115,1,0.001,true
158,2,4,1,13,11,123,1,0.001,true
159,2,4,1,12,10,157,1,0.001,true
160,2,4,1,11,5,97,1,0,true
161,2,4,1,11,11,123,1,0.001,true
162,2,4,1,13,10,141,1,0.001,true
163,2,4,1,12,9,132,1,0.001,true
164,2,3,1,12,4,69,1,0,true
165,2,4,1,12,3,99,1,0.001,true
166,2,4,1,11,5,89,1,0,true
167,2,4,1,11,15,152,1,0.001,true
168,2,4,1,13,15,155,1,0.001,true
169,2,4,1,11,10,121,1,0.001,true
170,2,4,1,11,15,153,1,0.001,true
171,2,4,1,12,7,94,1,0,true
172,2,4,1,12,3,99,1,0,true
173,2,4,1,13,9,114,1,0.001,true
174,2,4,1,12,6,98,1,0,true
175,2,4,1,13,12,124,1,0.001,true
176,2,4,1,11,7,115,1,0,true
177,2,4,1,12,11,165,1,0.001,true
178,2,4,1,12,15,154,1,0.001,true
179,2,4,1,12,7,154,1,0.001,true
180,2,4,1,13,10,134,1,0.001,true
181,2,4,1,11,7,112,1,0.001,true
182,2,4,1,12,13,160,1,0.001,true
183,2,4,1,13,11,135,1,0.001,true
184,2,4,1,13,14,149,1,0.001,true
185,2,4,1,12,9,154,1,0.001,true
186,2,4,1,13,2,99,1,0,true
187,2,4,1,13,9,127,1,0.001,true
188,2,4,1,11,6,79,1,0,true
189,2,4,1,13,12,133,1,0.001,true
190,2,4,1,13,13,156,1,0.001,true
191,2,4,1,13,11,159,1,0.001,true
192,2,4,1,12,15,154,1,0.001,true
193,2,4,1,13,5,101,1,0.001,true
194,2,4,1,12,5,83,1,0,true
195,2,4,1,13,13,141,1,0.001,true
196,2,4,1,12,9,126,1,0.001,true
197,2,4,1,11,6,98,1,0,true
198,2,4,1,13,10,124,1,0.001,true
199,2,4,1,13,9,143,1,0.001,true
200,2,4,1,11,11,159,1,0.001,true
201,2,4,1,11,7,136,1,0.001,true
202,3,4,1,12,13,156,1,0.001,true
203,4,5,1,14,14,352,1,0.004,true
204,2,2,1,11,3,99,1,0,true
205,1,3,1,3,1,4,1,0,true
