Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
90,2,5,6,4,126.66,0.102,6,4,73,444,53,0.117,true
91,2,1,7,1,191.34,0.102,6,19,199,1200,179,0.141,true
92,1,5,7,4,126,0.102,6,1,20,126,0,0.105,true
93,1,3,3,2,126,0.104,6,1,20,126,0,0.107,true
94,1,3,6,3,126,0.111,6,1,20,126,0,0.115,true
95,1,4,5,2,126,0.113,6,1,20,126,0,0.117,true
96,1,3,7,4,126,0.104,6,1,20,126,0,0.108,true
97,1,4,6,2,126,0.102,6,1,20,126,0,0.105,true
98,1,4,5,3,126,0.101,6,1,20,126,0,0.104,true
99,1,2,6,3,126,0.1,6,1,20,126,0,0.104,true
100,1,3,6,2,126,0.101,6,1,20,126,0,0.104,true
101,1,4,6,3,126,0.102,6,1,20,126,0,0.105,true
102,2,1,5,2,188.22,0.101,6,20,161,972,135,0.132,true
103,1,3,6,2,126,0.101,6,1,20,126,0,0.105,true
104,1,4,5,4,126,0.102,6,1,20,126,0,0.105,true
105,1,4,8,1,126,0.103,6,1,20,126,0,0.106,true
106,1,7,2,3,126,0.101,6,1,20,126,0,0.104,true
107,2,5,5,2,192,0.105,6,19,199,1200,179,0.145,true
108,1,4,6,2,126,0.104,6,1,20,126,0,0.107,true
109,1,4,5,4,126,0.104,6,1,20,126,0,0.108,true
110,1,4,7,3,126,0.105,6,1,20,126,0,0.108,true
111,1,7,3,4,126,0.103,6,1,20,126,0,0.107,true
112,2,4,5,5,135.24,0.106,6,5,61,372,41,0.119,true
113,1,4,6,3,126,0.104,6,1,20,126,0,0.108,true
114,1,5,6,4,126,0.106,6,1,20,126,0,0.11,true
115,1,5,6,3,126,0.104,6,1,20,126,0,0.108,true
116,3,4,3,2,174.18,0.108,6,14,244,1470,296,0.163,true
117,3,4,4,6,52.5,0.055,6,7,81,492,65,0.072,true
118,1,4,4,3,126,0.106,6,1,20,126,0,0.11,true
119,3,3,8,3,128.64,0.108,6,9,139,840,169,0.142,true
120,3,5,7,4,179.46,0.108,6,16,323,1944,447,0.186,true
121,2,3,5,2,189.36,0.107,6,13,123,744,100,0.133,true
122,3,3,6,4,153.36,0.087,6,17,274,1650,250,0.146,true
123,2,3,6,2,128.64,0.106,6,4,73,444,53,0.121,true
124,1,4,5,3,126,0.108,6,1,20,126,0,0.112,true
125,1,4,7,3,126,0.11,6,1,20,126,0,0.114,true
126,2,5,5,2,174.84,0.112,6,15,183,1104,163,0.151,true
127,2,4,5,3,149.1,0.107,6,11,151,912,131,0.141,true
128,2,4,6,3,191.34,0.117,6,18,199,1200,179,0.16,true
129,2,6,3,3,188.7,0.107,6,17,193,1164,173,0.147,true
130,2,6,6,4,186.72,0.107,6,16,193,1164,173,0.147,true
131,2,5,7,2,164.94,0.106,6,12,169,1020,149,0.142,true
132,1,5,6,4,126,0.104,6,1,20,126,0,0.108,true
133,1,5,6,3,126,0.106,6,1,20,126,0,0.11,true
134,3,5,1,5,62.4,0.074,6,8,72,438,45,0.089,true
135,2,6,3,5,138.54,0.109,6,8,129,780,109,0.137,true
136,3,7,2,8,97.14,0.088,6,10,220,1326,230,0.139,true
137,3,4,7,4,185.4,0.111,6,20,658,3954,1096,0.284,true
138,2,4,6,3,126,0.108,6,3,34,210,14,0.115,true
139,1,3,6,2,126,0.11,6,1,20,126,0,0.114,true
140,1,4,5,3,126,0.11,6,1,20,126,0,0.114,true
141,3,5,3,4,138.54,0.11,6,7,232,1398,318,0.167,true
142,1,6,5,6,126,0.112,6,1,20,126,0,0.116,true
143,1,3,7,2,126,0.111,6,1,20,126,0,0.115,true
144,1,4,5,3,126,0.11,6,1,20,126,0,0.114,true
145,1,4,5,2,126,0.11,6,1,20,126,0,0.113,true
146,1,4,4,5,126,0.107,6,1,20,126,0,0.111,true
147,3,4,5,2,132.6,0.111,6,12,284,1710,428,0.184,true
148,1,4,7,4,126,0.123,6,1,20,126,0,0.126,true
149,1,4,5,2,126,0.121,6,1,20,126,0,0.125,true
150,2,3,4,2,189.36,0.127,6,16,193,1164,173,0.175,true
151,2,2,2,1,126,0.125,6,4,57,348,22,0.138,true
152,2,4,4,5,127.98,0.12,6,11,169,1020,137,0.158,true
153,1,13,0,3,126,0.109,6,1,20,126,0,0.113,true
154,1,9,2,6,126,0.113,6,1,20,126,0,0.117,true
155,2,5,5,5,151.08,0.116,6,11,151,912,131,0.151,true
156,1,12,0,2,126,0.113,6,1,20,126,0,0.117,true
157,1,9,2,6,126,0.111,6,1,20,126,0,0.115,true
158,1,2,4,2,84,0.077,6,1,13,84,0,0.079,true
