Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,3,2,0,21.22,0.088,1,4,126,127,67,0.089,true
1,1,0,2,0,63,0.057,3,1,20,63,0,0.057,true
2,1,0,2,0,63,0.057,3,1,20,63,0,0.057,true
3,1,1,3,0,63,0.057,3,1,20,63,0,0.058,true
4,1,3,3,1,63,0.059,3,1,20,63,0,0.059,true
5,2,6,5,2,64.65,0.066,3,7,127,384,78,0.071,true
6,1,0,2,0,126,0.066,6,1,20,126,0,0.067,true
7,1,1,3,0,126,0.066,6,1,20,126,0,0.068,true
8,1,0,2,0,126,0.07,6,1,20,126,0,0.071,true
9,1,1,3,0,126,0.068,6,1,20,126,0,0.07,true
10,1,1,4,1,126,0.068,6,1,20,126,0,0.069,true
11,1,1,3,2,126,0.068,6,1,20,126,0,0.069,true
12,1,2,2,3,126,0.068,6,1,20,126,0,0.069,true
13,1,1,2,3,126,0.068,6,1,20,126,0,0.069,true
14,1,1,2,2,126,0.068,6,1,20,126,0,0.07,true
15,1,2,3,3,126,0.068,6,1,20,126,0,0.069,true
16,1,2,2,3,126,0.068,6,1,20,126,0,0.069,true
17,1,1,2,2,126,0.068,6,1,20,126,0,0.07,true
18,1,1,5,2,126,0.068,6,1,20,126,0,0.069,true
19,1,0,2,0,126,0.069,6,1,20,126,0,0.07,true
20,1,0,5,0,126,0.069,6,1,20,126,0,0.07,true
21,1,3,7,3,126,0.069,6,1,20,126,0,0.071,true
22,1,0,2,0,126,0.071,6,1,20,126,0,0.073,true
23,1,0,2,0,126,0.071,6,1,20,126,0,0.073,true
24,1,0,2,0,126,0.075,6,1,20,126,0,0.076,true
25,1,0,2,0,126,0.071,6,1,20,126,0,0.072,true
26,1,0,2,0,126,0.071,6,1,20,126,0,0.073,true
27,1,0,2,0,126,0.071,6,1,20,126,0,0.073,true
28,1,0,2,0,126,0.072,6,1,20,126,0,0.074,true
29,1,0,2,0,126,0.074,6,1,20,126,0,0.075,true
30,1,0,2,0,126,0.075,6,1,20,126,0,0.077,true
31,1,0,2,0,126,0.072,6,1,20,126,0,0.073,true
32,1,0,2,0,126,0.071,6,1,20,126,0,0.073,true
33,1,0,2,0,126,0.079,6,1,20,126,0,0.081,true
34,1,1,2,0,126,0.08,6,1,20,126,0,0.082,true
35,1,0,2,0,126,0.08,6,1,20,126,0,0.081,true
36,1,0,3,0,126,0.072,6,1,20,126,0,0.074,true
37,1,2,4,1,126,0.072,6,1,20,126,0,0.074,true
38,1,2,3,3,126,0.071,6,1,20,126,0,0.073,true
39,1,1,3,0,126,0.07,6,1,20,126,0,0.072,true
40,1,3,5,3,126,0.069,6,1,20,126,0,0.072,true
41,1,1,4,0,126,0.07,6,1,20,126,0,0.071,true
42,1,0,2,0,126,0.07,6,1,20,126,0,0.071,true
43,1,0,2,0,126,0.07,6,1,20,126,0,0.071,true
44,1,0,2,0,126,0.069,6,1,20,126,0,0.071,true
45,1,0,2,0,126,0.07,6,1,20,126,0,0.071,true
46,1,0,2,0,126,0.07,6,1,20,126,0,0.072,true
47,1,0,2,0,126,0.069,6,1,20,126,0,0.071,true
48,2,10,4,0,136.56,0.073,6,9,129,780,109,0.087,true
49,2,13,3,1,185.4,0.086,6,17,193,1164,173,0.115,true
50,2,4,4,4,72,0.057,6,5,63,384,40,0.068,true
51,1,1,2,1,126,0.093,6,1,20,126,0,0.096,true
52,1,0,1,0,126,0.093,6,1,20,126,0,0.096,true
53,1,0,1,0,126,0.093,6,1,20,126,0,0.095,true
54,1,0,1,0,126,0.093,6,1,20,126,0,0.096,true
55,1,0,1,0,126,0.093,6,1,20,126,0,0.096,true
56,1,3,7,3,126,0.093,6,1,20,126,0,0.096,true
57,2,5,5,4,188.7,0.097,6,17,193,1164,173,0.131,true
58,2,4,4,4,72,0.057,6,5,63,384,40,0.068,true
59,1,1,2,1,126,0.093,6,1,20,126,0,0.096,true
60,2,1,5,1,131.28,0.096,6,9,109,660,77,0.115,true
61,1,2,4,2,126,0.094,6,1,20,126,0,0.096,true
62,1,2,6,2,126,0.096,6,1,20,126,0,0.099,true
63,1,2,3,3,126,0.099,6,1,20,126,0,0.102,true
64,1,2,5,1,126,0.099,6,1,20,126,0,0.103,true
65,1,1,6,1,126,0.099,6,1,20,126,0,0.102,true
66,1,4,6,4,126,0.097,6,1,20,126,0,0.1,true
67,1,2,7,3,126,0.097,6,1,20,126,0,0.1,true
68,1,2,6,1,126,0.096,6,1,20,126,0,0.099,true
69,1,1,4,1,126,0.096,6,1,20,126,0,0.099,true
70,1,4,7,4,126,0.099,6,1,20,126,0,0.102,true
71,2,4,7,2,129.3,0.102,6,7,103,624,83,0.122,true
72,1,4,5,4,126,0.101,6,1,20,126,0,0.104,true
73,2,0,4,0,137.22,0.103,6,8,129,780,109,0.128,true
74,2,1,6,1,130.62,0.102,6,9,115,696,83,0.124,true
75,1,3,8,3,126,0.103,6,1,20,126,0,0.106,true
76,2,3,6,2,166.26,0.106,6,13,169,1020,149,0.14,true
77,1,0,2,0,126,0.1,6,1,20,126,0,0.104,true
78,1,0,2,0,126,0.102,6,1,20,126,0,0.105,true
79,1,1,2,0,126,0.102,6,1,20,126,0,0.106,true
80,1,1,3,0,126,0.103,6,1,20,126,0,0.106,true
81,1,1,5,1,126,0.103,6,1,20,126,0,0.106,true
82,1,3,3,3,126,0.102,6,1,20,126,0,0.105,true
83,1,4,6,2,126,0.102,6,1,20,126,0,0.105,true
84,1,5,6,4,126,0.101,6,1,20,126,0,0.105,true
85,1,4,6,3,126,0.101,6,1,20,126,0,0.104,true
86,1,3,6,2,126,0.1,6,1,20,126,0,0.103,true
87,2,2,6,3,128.64,0.101,6,7,103,624,83,0.121,true
88,1,3,6,2,126,0.1,6,1,20,126,0,0.103,true
89,2,1,5,1,135.9,0.102,6,8,129,780,109,0.126,true
