Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,3,25,1,33,3049.34,6.763,1,63,203000,203001,158608,11.209,true
1,4,25,1,40,114312,3.36,24,111,1453364,34880760,2840430,2610.24,true
2,2,25,1,41,322408,6.039,24,101,9022,216552,7337,11.08,true
3,3,25,1,42,406151,5.363,24,120,279023,6696576,453904,209.224,true
4,3,25,1,38,575983,4.379,24,189,278057,6673392,487371,215.682,true
5,2,25,1,29,7.40553e+06,7.727,24,130,14407,345792,14180,15.861,true
6,2,17,0,16,12603.6,7.469,24,21,3801,91248,3601,9.452,true
7,3,25,1,40,4.68798e+07,6.587,24,206,330948,7942776,600297,256.174,true
8,1,15,1,17,1032,1.794,24,1,42,1032,0,1.81,true
